,Genre,Description
320,Satire,"Satire is primarily a literary genre or form, although in practice it can also be found in the graphic and performing arts. In satire, vices, follies, abuses, and shortcomings are held up to ridicule, ideally with the intent of shaming individuals, and society itself, into improvement. Although satire is usually meant to be funny, its greater purpose is often constructive social criticism, using wit as a weapon."
321,School,See also school stories.readSee also school stories.read...more
322,Sci Fi Fantasy,See:* Science Fiction* Fantasy* Science Fantasy* Speculative FictionSee:* Science Fiction* Fantasy* Science Fantasy* Speculative Fiction...more
323,Science,"Science (from the Latin scientia, meaning “knowledge”) is the effort to discover, and increase human understanding of how the physical world works. Through controlled methods, science uses observable physical evidence of natural phenomena to collect data, and analyzes this information to explain what and how things work."
324,Science Fiction,"Science fiction (abbreviated SF or sci-fi with varying punctuation and capitalization) is a broad genre of fiction that often involves speculations based on current or future science or technology. Science fiction is found in books, art, television, films, games, theatre, and other media. In organizational or marketing contexts, science fiction can be synonymous with the broader definition of speculative fiction, encompassing creative works incorporating imaginative elements not found in contemporary reality; this includes fantasy, horror and related genres.Although the two genres are often coScience fiction (abbreviated SF or sci-fi with varying punctuation and capitalization) is a broad genre of fiction that often involves speculations based on current or future science or technology. Science fiction is found in books, art, television, films, games, theatre, and other media. In organizational or marketing contexts, science fiction can be synonymous with the broader definition of speculative fiction, encompassing creative works incorporating imaginative elements not found in contemporary reality; this includes fantasy, horror and related genres.Although the two genres are often conflated as science fiction/fantasy, science fiction differs from fantasy in that, within the context of the story, its imaginary elements are largely possible within scientifically established or scientifically postulated laws of nature (though some elements in a story might still be pure imaginative speculation). Exploring the consequences of such differences is the traditional purpose of science fiction, making it a ""literature of ideas"". Science fantasy is largely based on writing entertainingly and rationally about alternate possibilities in settings that are contrary to known reality....more"
325,Science Fiction Fantasy,See:* Science Fiction* Fantasy* Science Fantasy* Speculative FictionSee:* Science Fiction* Fantasy* Science Fantasy* Speculative Fiction...more
326,Self Help,"Self-help, or self-improvement, is a self-guided improvement[1]—economically, intellectually, or emotionally—often with a substantial psychological basis. Many different self-help groupings exist and each has its own focus, techniques, associated beliefs, proponents and in some cases, leaders. ""Self-help culture, particularly Twelve-Step culture, has provided some of our most robust new language: recovery, dysfunctional families, and codependency.""[2]Self-help, or self-improvement, is a self-guided improvement[1]—economically, intellectually, or emotionally—often with a substantial psychological basis. Many different self-help groupings exist and each has its own focus, techniques, associated beliefs, proponents and in some cases, leaders. ""Self-help culture, particularly Twelve-Step culture, has provided some of our most robust new language: recovery, dysfunctional families, and codependency.""[2]...more"
327,Sequential Art,"Sequential art refers to the art form of using a train of images deployed in sequence to tell a story or convey information. The best-known examples of sequential art are comics, graphic novels, and manga.See also the compound shelves:* graphic novels, comics, and manga* graphic novels and comics* graphic novels and manga* comics and mangaSequential art refers to the art form of using a train of images deployed in sequence to tell a story or convey information. The best-known examples of sequential art are comics, graphic novels, and manga.See also the compound shelves:* graphic novels, comics, and manga* graphic novels and comics* graphic novels and manga* comics and manga...more"
328,Sexuality,Sexuality often refers to works about sex (the act or the biological category) but may also be used for works containing sexual stories.See also:* gender* erotica* pornographySexuality often refers to works about sex (the act or the biological category) but may also be used for works containing sexual stories.See also:* gender* erotica* pornography...more
329,Shapeshifters,"Shapeshifter fiction concerns men and women who are able to — or cursed to — periodically change into animal form or mimic other human appearances. Werewolf fiction is the most common variant of this sub-genre.In mythology, folklore and speculative fiction, shapeshifting is the ability of a being or creature to transform its physical form or shape. This is usually achieved through an inherent ability of a mythological creature, divine intervention or the use of magic. The idea of shapeshifting is present in the oldest forms of totemism and shamanism, as well as the oldest extant literature andShapeshifter fiction concerns men and women who are able to — or cursed to — periodically change into animal form or mimic other human appearances. Werewolf fiction is the most common variant of this sub-genre.In mythology, folklore and speculative fiction, shapeshifting is the ability of a being or creature to transform its physical form or shape. This is usually achieved through an inherent ability of a mythological creature, divine intervention or the use of magic. The idea of shapeshifting is present in the oldest forms of totemism and shamanism, as well as the oldest extant literature and epic poems, including works such as the Epic of Gilgamesh and the Iliad, where the shapeshifting is usually induced by the act of a deity....more"
330,Shonen,"The term shōnen, shonen, or shounen manga (少年漫画) refers to manga marketed to a teen male audience."
331,Short Stories,"A short story is a short work of prose fiction. It may be in any genre of fiction, and the exact definition of ""short"" will often depend on the genre.Short stories are often collected together with other short stories, poetry, art, and/or essays in order to form a larger book, although it is becoming more common for short stories to be released as stand-alone ebooks.A short story is a short work of prose fiction. It may be in any genre of fiction, and the exact definition of ""short"" will often depend on the genre.Short stories are often collected together with other short stories, poetry, art, and/or essays in order to form a larger book, although it is becoming more common for short stories to be released as stand-alone ebooks....more"
332,Social Justice,"Social justice is the idea that people with different backgrounds and different characteristics should have the same opportunity and rights, and be given equal status in life."
333,Social Science,"The social sciences are the fields of scholarship that study society. ""Social science"" is commonly used as an umbrella term to refer to a plurality of fields outside of the natural sciences. These include: anthropology, archaeology, business administration, criminology, economics, education, geography, linguistics, political science, sociology, international relations, communication, and, in some contexts, history, law, and psychology.The term may be used, however, in the specific context of referring to the original science of society established in 19th century sociology. Émile Durkheim, KarThe social sciences are the fields of scholarship that study society. ""Social science"" is commonly used as an umbrella term to refer to a plurality of fields outside of the natural sciences. These include: anthropology, archaeology, business administration, criminology, economics, education, geography, linguistics, political science, sociology, international relations, communication, and, in some contexts, history, law, and psychology.The term may be used, however, in the specific context of referring to the original science of society established in 19th century sociology. Émile Durkheim, Karl Marx and Max Weber are typically cited as the principal architects of modern social science by this definition. Positivist social scientists use methods resembling those of the natural sciences as tools for understanding society, and so define science in its stricter modern sense. Interpretivist social scientists, by contrast, may use social critique or symbolic interpretation rather than constructing empirically falsifiable theories, and thus treat science in its broader sense. In modern academic practice, researchers are often eclectic, using multiple methodologies (for instance, by combining the quantitative and qualitative techniques). The term ""social research"" has also acquired a degree of autonomy as practitioners from various disciplines share in its aims and methods....more"
334,Society,NULL
335,Sociology,"Sociology is the study of society. It is a social science—a term with which it is sometimes synonymous—which uses various methods of empirical investigation and critical analysis to develop and refine a body of knowledge about human social activity, often with the goal of applying such knowledge to the pursuit of social welfare. Subject matter ranges from the micro level of agency and interaction to the macro level of systems and social structures.Sociology is both topically and methodologically a very broad discipline. Its traditional focuses have included social stratification, social class,Sociology is the study of society. It is a social science—a term with which it is sometimes synonymous—which uses various methods of empirical investigation and critical analysis to develop and refine a body of knowledge about human social activity, often with the goal of applying such knowledge to the pursuit of social welfare. Subject matter ranges from the micro level of agency and interaction to the macro level of systems and social structures.Sociology is both topically and methodologically a very broad discipline. Its traditional focuses have included social stratification, social class, social mobility, religion, secularisation, law, and deviance. As all spheres of human activity are sculpted by social structure and individual agency, sociology has gradually expanded its focus to further subjects, such as health, military and penal institutions, the Internet, and even the role of social activity in the development of scientific knowledge.The range of social scientific methods has also broadly expanded. Social researchers draw upon a variety of qualitative and quantitative techniques. The linguistic and cultural turns of the mid-twentieth century led to increasingly interpretative, hermeneutic, and philosophic approaches to the analysis of society. Conversely, recent decades have seen the rise of new analytically, mathematically and computationally rigorous techniques, such as agent-based modelling and social network analysis....more"
336,Software,"Computer software, or simply software, also known as computer programs, is the non-tangible component of computers. "
337,South Africa,Books in this genre are set in or about South Africa.
338,Southern,"Southern literature (sometimes called the literature of the American South) is defined as American literature about the Southern United States or by writers from this region. Characteristics of Southern literature include a focus on a common Southern history, the significance of family, a sense of community and one’s role within it, a sense of justice, the region's dominant religion (Christianity) and the burdens/rewards religion often brings, issues of racial tension, land and the promise it brings, a sense of social class and place, and the use of the Southern dialect.Southern literature (sometimes called the literature of the American South) is defined as American literature about the Southern United States or by writers from this region. Characteristics of Southern literature include a focus on a common Southern history, the significance of family, a sense of community and one’s role within it, a sense of justice, the region's dominant religion (Christianity) and the burdens/rewards religion often brings, issues of racial tension, land and the promise it brings, a sense of social class and place, and the use of the Southern dialect....more"
339,Soviet Union,"The Soviet Union (Советский Союз, officially the Union of Soviet Socialist Republics (Союз Советских Социалистических Республик) abbreviated to USSR (СССР) was a socialist state on the Eurasian continent that existed between 1922 and 1991. A union of multiple subnational Soviet republics, its government and economy were highly centralized. The Soviet Union was a one-party state, governed by the Communist Party with Moscow as its capital."
340,Space,"""Space"" may refer to stories (usually science fiction) which are set in outer space or it may refer to non-fiction about outer space (especially sciences such as astronomy).""Space"" may refer to stories (usually science fiction) which are set in outer space or it may refer to non-fiction about outer space (especially sciences such as astronomy)....more"
341,Space Opera,"Space opera is a subgenre of speculative fiction or science fiction that emphasizes romantic, often melodramatic adventure, set mainly or entirely in space, generally involving conflict between opponents possessing powerful (and sometimes quite fanciful) technologies and abilities. Perhaps the most significant trait of space opera is that settings, characters, battles, powers, and themes tend to be very large-scale.Also see Planetary Romance, which has similarities.Space opera is a subgenre of speculative fiction or science fiction that emphasizes romantic, often melodramatic adventure, set mainly or entirely in space, generally involving conflict between opponents possessing powerful (and sometimes quite fanciful) technologies and abilities. Perhaps the most significant trait of space opera is that settings, characters, battles, powers, and themes tend to be very large-scale.Also see Planetary Romance, which has similarities....more"
342,Spanish Literature,"Spanish literature generally refers to literature (Spanish poetry, prose, and drama) written in the Spanish language within the territory that presently constitutes the state of Spain. Its development coincides and frequently intersects with that of other literary traditions from regions within the same territory, particularly Catalan literature, Galician literature, and more recently a formal Basque literature. In its earliest form, Spanish literature intersects as well with Latin, Jewish, and Arabic literary traditions of the Iberian peninsula. The literature of Spanish America is an importaSpanish literature generally refers to literature (Spanish poetry, prose, and drama) written in the Spanish language within the territory that presently constitutes the state of Spain. Its development coincides and frequently intersects with that of other literary traditions from regions within the same territory, particularly Catalan literature, Galician literature, and more recently a formal Basque literature. In its earliest form, Spanish literature intersects as well with Latin, Jewish, and Arabic literary traditions of the Iberian peninsula. The literature of Spanish America is an important branch of Spanish literature, with its own particular characteristics dating back to the earliest years of Spain’s conquest of the Americas (see Latin American literature)....more"
343,Speculative Fiction,"Speculative fiction is a broad category of fiction encompassing genres with certain elements that are nonexistent in terms of reality, recorded history, or nature and the present universe, covering various themes in the context of the supernatural, futuristic, and many other imaginative topics.Under this umbrella category, the genres include, but are not limited to: science fiction, fantasy fiction, horror fiction, supernatural fiction, superhero fiction, utopian and dystopian fiction, apocalyptic and post-apocalyptic fiction, and alternate history.It can be used as an umbrella term for sciencSpeculative fiction is a broad category of fiction encompassing genres with certain elements that are nonexistent in terms of reality, recorded history, or nature and the present universe, covering various themes in the context of the supernatural, futuristic, and many other imaginative topics.Under this umbrella category, the genres include, but are not limited to: science fiction, fantasy fiction, horror fiction, supernatural fiction, superhero fiction, utopian and dystopian fiction, apocalyptic and post-apocalyptic fiction, and alternate history.It can be used as an umbrella term for science fantasy.The term is often attributed to Robert A. Heinlein....more"
344,Spirituality,"Spirituality may refer to almost any kind of meaningful activity, personal growth, or blissful experience.Traditionally, spirituality refers to a process of re-formation of the personality but there is no precise definition of spirituality."
345,Sports,"Sports : engagement in physical activity intended to create a benefit to the participant. Ranging from Amateur to Professional, from incompetent to proficient, for all levels of ability, all nations, all creeds, all genders. As James Joyce said ""I am, a stride at a time""Sports : engagement in physical activity intended to create a benefit to the participant. Ranging from Amateur to Professional, from incompetent to proficient, for all levels of ability, all nations, all creeds, all genders. As James Joyce said ""I am, a stride at a time""...more"
346,Sports Romance,"Books with some lovin' and some sports. Usually, a main character has something to do with the professional sports business Books with some lovin' and some sports. Usually, a main character has something to do with the professional sports business ...more"
347,Steampunk,"Steampunk is a subgenre of speculative fiction, usually set in an anachronistic Victorian or quasi-Victorian alternate history setting. It could be described by the slogan ""What the past would look like if the future had happened sooner."" The term denotes works set in an era or world where STEAM POWER is still widely used—usually the 19th century, and often set in Victorian era England—but with prominent elements of either science fiction or fantasy, such as fictional technological inventions like those found in the works of H. G. Wells and Jules Verne, or real technological developments like Steampunk is a subgenre of speculative fiction, usually set in an anachronistic Victorian or quasi-Victorian alternate history setting. It could be described by the slogan ""What the past would look like if the future had happened sooner."" The term denotes works set in an era or world where STEAM POWER is still widely used—usually the 19th century, and often set in Victorian era England—but with prominent elements of either science fiction or fantasy, such as fictional technological inventions like those found in the works of H. G. Wells and Jules Verne, or real technological developments like the computer occurring at an earlier date. It is a subgenre of fantasy and speculative fiction that came into prominence in the 1980s and early 1990s. Dieselpunk takes over where Steampunk leaves off. These are stories that take over as we usher in the machine-heavy eras of WWI and WWII. The use of diesel-powered machines plays heavily. In this (like its steam counterpart), the focus is on the technology....more"
348,Storytime,"Books that are frequently read to young children, for example by teachers at school or by parents at bedtime."
349,Stuart,"The Stuart period of British history usually refers to the period between 1603 and 1714 and sometimes from 1371 in Scotland. Includes Jacobean era, Caroline era, English Civil War, The Protectorate or Interregnum, & the Restoration"
350,Supernatural,"The supernatural genre incorporates elements that cannot be understood by science and operate outside the rules of the real world. Supernatural fiction normally concerns itself with matters of god, the soul, archangels, and resurrection.Subgenres include supernatural horror fiction (i.e. the work of H. P. Lovecraft), Gothic (i.e. Frankenstein), ghost stories, supernatural thrillers, and other macabre stories in the horror genre.Also see: ParanormalThe supernatural genre incorporates elements that cannot be understood by science and operate outside the rules of the real world. Supernatural fiction normally concerns itself with matters of god, the soul, archangels, and resurrection.Subgenres include supernatural horror fiction (i.e. the work of H. P. Lovecraft), Gothic (i.e. Frankenstein), ghost stories, supernatural thrillers, and other macabre stories in the horror genre.Also see: Paranormal...more"
351,Survival,"Fiction or non-fiction book focusing on a person or group of people who must brave the elements, natural disasters, weather or other circumstances in order to survive. A theme common when people are shipwrecked or survive plane crashes. Survival can also be in books where society has crumbled or deteriorated and people must survive the changed world in isolated groups."
352,Suspense,"Suspense is a feeling of uncertainty and anxiety about the outcome of certain actions, most often referring to an audience's perceptions in a dramatic work. Suspense is not exclusive to fiction, though. Suspense may operate in any situation where there is a lead up to a big event or dramatic moment, with tension being a primary emotion felt as part of the situation. In the kind of suspense described by film director Alfred Hitchcock, an audience experiences suspense when they expect something bad to happen and have (or believe they have) a superior perspective on events in the drama's hierarchSuspense is a feeling of uncertainty and anxiety about the outcome of certain actions, most often referring to an audience's perceptions in a dramatic work. Suspense is not exclusive to fiction, though. Suspense may operate in any situation where there is a lead up to a big event or dramatic moment, with tension being a primary emotion felt as part of the situation. In the kind of suspense described by film director Alfred Hitchcock, an audience experiences suspense when they expect something bad to happen and have (or believe they have) a superior perspective on events in the drama's hierarchy of knowledge, yet they are powerless to intervene to prevent it from happening. In broader definitions of suspense, this emotion arises when someone is aware of his lack of knowledge about the development of a meaningful event; thus, suspense is a combination of anticipation and uncertainty dealing with the obscurity of the future. In terms of narrative expectations, it may be contrasted with mystery or curiosity and surprise....more"
353,Sustainability,"In ecology, sustainability (from sustain and ability) is the property of biological systems to remain diverse and productive indefinitely. Long-lived and healthy wetlands and forests are examples of sustainable biological systems. In more general terms, sustainability is the endurance of systems and processes."
354,Teaching,NULL
355,Technical,NULL
356,Technology,"Technology is the making, modification, usage, and knowledge of tools, machines, techniques, crafts, systems, and methods of organization, in order to solve a problem, improve a pre-existing solution to a problem, achieve a goal, handle an applied input/output relation or perform a specific function. It can also refer to the collection of such tools, including machinery, modifications, arrangements and procedures. "
357,Textbooks,A textbook is a manual of instruction or a standard book in any branch of study.
358,The United States Of America,NULL
359,Theatre,"Theatre is a branch of the performing arts. Any performance may be considered theatre; however, as a performing art, theatre focuses almost exclusively on live performers enacting a self-contained drama before an audience. A performance qualifies as dramatic by creating a representational illusion. The word ""theatre"" derives from the Ancient Greek theatron (θέατρον) meaning ""a place for viewing."" A theatrical performance may include music, dance and various elements of stagecraft such as costumes, sets, lights, stage properties and sound engineering, among others.Modern Western theatre derivesTheatre is a branch of the performing arts. Any performance may be considered theatre; however, as a performing art, theatre focuses almost exclusively on live performers enacting a self-contained drama before an audience. A performance qualifies as dramatic by creating a representational illusion. The word ""theatre"" derives from the Ancient Greek theatron (θέατρον) meaning ""a place for viewing."" A theatrical performance may include music, dance and various elements of stagecraft such as costumes, sets, lights, stage properties and sound engineering, among others.Modern Western theatre derives in large measure from ancient Greek drama, from which it borrows technical terminology, classification into genres, and many of its themes, stock characters, and plot elements. Theatre scholar Patrice Pavis defines theatricality, theatrical language, stage writing, and the specificity of theatre as synonymous expressions that differentiate theatre from the other performing arts, literature, and the arts in general. Theatre includes performances of plays and musicals. Although it can be defined broadly to include opera and ballet, those art forms are outside the scope of this article....more"
360,Thelema,"Thelema (/θəˈliːmə/; Koine Greek: [θélima]) is a religion that was developed by the early 20th century British writer and ceremonial magician, Aleister Crowley. He came to believe himself to be the prophet of a new age, the Æon of Horus, based upon a spiritual experience that he and his wife, Rose Edith, had in Egypt in 1904. By his account, a possibly non-corporeal or ""praeterhuman"" being that called itself Aiwass contacted him and dictated a text known as The Book of the Law or Liber AL vel Legis, which outlined the principles of Thelema. An adherent of Thelema is a Thelemite.The Thelemic paThelema (/θəˈliːmə/; Koine Greek: [θélima]) is a religion that was developed by the early 20th century British writer and ceremonial magician, Aleister Crowley. He came to believe himself to be the prophet of a new age, the Æon of Horus, based upon a spiritual experience that he and his wife, Rose Edith, had in Egypt in 1904. By his account, a possibly non-corporeal or ""praeterhuman"" being that called itself Aiwass contacted him and dictated a text known as The Book of the Law or Liber AL vel Legis, which outlined the principles of Thelema. An adherent of Thelema is a Thelemite.The Thelemic pantheon includes a number of deities focusing primarily on a trinity of deities adapted from ancient Egyptian religion, who are the three speakers of The Book of the Law: Nuit, Hadit and Ra-Hoor-Khuit. The religion is founded upon the idea that the 20th century marked the beginning of the Aeon of Horus, in which a new ethical code would be followed; ""Do what thou wilt shall be the whole of the Law"". This statement indicates that adherents, who are known as Thelemites, should seek out and follow their own true path in life, known as their True Will rather than their egoic desires. The philosophy also emphasizes the ritual practice of Magick....more"
361,Theology,"Theology is the critical study of concepts of God and of the nature of religious ideas. It is taught as an academic discipline, typically in universities, seminaries and schools of divinity."
362,Theory,"A philosophical theory is a theory that explains or accounts for a general philosophy or specific branch of philosophy. While any sort of thesis or opinion may be termed a theory, in analytic philosophy it is thought best to reserve the word ""theory"" for systematic, comprehensive attempts to solve problems.A philosophical theory is a theory that explains or accounts for a general philosophy or specific branch of philosophy. While any sort of thesis or opinion may be termed a theory, in analytic philosophy it is thought best to reserve the word ""theory"" for systematic, comprehensive attempts to solve problems....more"
363,Thriller,"Thrillers are characterized by fast pacing, frequent action, and resourceful heroes who must thwart the plans of more-powerful and better-equipped villains. Literary devices such as suspense, red herrings and cliffhangers are used extensively.Thrillers often overlap with mystery stories, but are distinguished by the structure of their plots. In a thriller, the hero must thwart the plans of an enemy, rather than uncover a crime that has already happened. Thrillers also occur on a much grander scale: the crimes that must be prevented are serial or mass murder, terrorism, assassination, or the ovThrillers are characterized by fast pacing, frequent action, and resourceful heroes who must thwart the plans of more-powerful and better-equipped villains. Literary devices such as suspense, red herrings and cliffhangers are used extensively.Thrillers often overlap with mystery stories, but are distinguished by the structure of their plots. In a thriller, the hero must thwart the plans of an enemy, rather than uncover a crime that has already happened. Thrillers also occur on a much grander scale: the crimes that must be prevented are serial or mass murder, terrorism, assassination, or the overthrow of governments. Jeopardy and violent confrontations are standard plot elements. While a mystery climaxes when the mystery is solved, a thriller climaxes when the hero finally defeats the villain, saving his own life and often the lives of others....more"
364,Time Travel,"Time travel is the concept of moving between different points in time in a manner analogous to moving between different points in space. Time travel could hypothetically involve moving backward in time to a moment earlier than the starting point, or forward to the future of that point without the need for the traveler to experience the intervening period (at least not at the normal rate). Time travel can form the central theme of a book or it can simply be a plot device to drive a story. Time travel in fiction can ignore the possible effects of the time traveler's actions or it can explore itsTime travel is the concept of moving between different points in time in a manner analogous to moving between different points in space. Time travel could hypothetically involve moving backward in time to a moment earlier than the starting point, or forward to the future of that point without the need for the traveler to experience the intervening period (at least not at the normal rate). Time travel can form the central theme of a book or it can simply be a plot device to drive a story. Time travel in fiction can ignore the possible effects of the time traveler's actions or it can explore its repercussions (ie: paradoxes)....more"
365,Tragedy,"Tragedy (Ancient Greek: τραγῳδία, tragōidia, ""he-goat-song""]. is a form of art based on human suffering that offers its audience pleasure. While most cultures have developed forms that provoke this paradoxical response, tragedy refers to a specific tradition of drama that has played a unique and important role historically in the self-definition of Western civilisation. That tradition has been multiple and discontinuous, yet the term has often been used to invoke a powerful effect of cultural identity and historical continuity—""the Greeks and the Elizabethans, in one cultural form; Hellenes anTragedy (Ancient Greek: τραγῳδία, tragōidia, ""he-goat-song""]. is a form of art based on human suffering that offers its audience pleasure. While most cultures have developed forms that provoke this paradoxical response, tragedy refers to a specific tradition of drama that has played a unique and important role historically in the self-definition of Western civilisation. That tradition has been multiple and discontinuous, yet the term has often been used to invoke a powerful effect of cultural identity and historical continuity—""the Greeks and the Elizabethans, in one cultural form; Hellenes and Christians, in a common activity,"" as Raymond Williams puts it. From its obscure origins in the theatres of Athens 2,500 years ago, from which there survives only a fraction of the work of Aeschylus, Sophocles and Euripides, through its singular articulations in the works of Shakespeare, Lope de Vega, Racine, and Schiller, to the more recent naturalistic tragedy of Strindberg, Beckett's modernist meditations on death, loss and suffering, and Müller's postmodernist reworkings of the tragic canon, tragedy has remained an important site of cultural experimentation, negotiation, struggle, and change. A long line of philosophers—which includes Plato, Aristotle, Saint Augustine, Voltaire, Hume, Diderot, Hegel, Schopenhauer, Kierkegaard, Nietzsche, Freud, Benjamin, Camus, Lacan, and Deleuze—have analysed, speculated upon, and criticised the tragic form. In the wake of Aristotle's Poetics (335 BCE), tragedy has been used to make genre distinctions, whether at the scale of poetry in general (where the tragic divides against epic and lyric) or at the scale of the drama (where tragedy is opposed to comedy). In the modern era, tragedy has also been defined against drama, melodrama, the tragicomic, and epic theatre....more"
366,Transgender,"See also gender identity, trans woman, trans man, trans rep, trans character, transgender romance.See also gender identity, trans woman, trans man, trans rep, trans character, transgender romance....more"
367,Transport,"Transport or transportation is the movement of people, animals and goods from one location to another. Modes of transport include air, rail, road, water, cable, pipeline and space. The field can be divided into infrastructure, vehicles and operations. Transport is important because it enables trade between persons, which is essential for the development of civilizations.Transport infrastructure consists of the fixed installations including roads, railways, airways, waterways, canals and pipelines and terminals such as airports, railway stations, bus stations, warehouses, trucking terminals, reTransport or transportation is the movement of people, animals and goods from one location to another. Modes of transport include air, rail, road, water, cable, pipeline and space. The field can be divided into infrastructure, vehicles and operations. Transport is important because it enables trade between persons, which is essential for the development of civilizations.Transport infrastructure consists of the fixed installations including roads, railways, airways, waterways, canals and pipelines and terminals such as airports, railway stations, bus stations, warehouses, trucking terminals, refueling depots (including fueling docks and fuel stations) and seaports. Terminals may be used both for interchange of passengers and cargo and for maintenance.Vehicles traveling on these networks may include automobiles, bicycles, buses, trains, trucks, people, helicopters, watercraft, spacecraft and aircraft. Operations deal with the way the vehicles are operated, and the procedures set for this purpose including financing, legalities and policies. In the transport industry, operations and ownership of infrastructure can be either public or private, depending on the country and mode.Passenger transport may be public, where operators provide scheduled services, or private. Freight transport has become focused on containerization, although bulk transport is used for large volumes of durable items. Transport plays an important part in economic growth and globalization, but most types cause air pollution and use large amounts of land. While it is heavily subsidized by governments, good planning of transport is essential to make traffic flow and restrain urban sprawl....more"
368,Travel,"Travel is the movement of people or objects (such as airplanes, boats, trains and other conveyances) between relatively distant geographical locations. The term ""travel"" originates from the Old French word travail. Travel writing is a genre that has, as its focus, accounts of real or imaginary places. The genre encompasses a number of styles that may range from the documentary to the evocative, from literary to journalistic, and from the humorous to the serious. Travel writing is often associated with tourism, and includes works of an ephemeral nature such as guide books and reviews, with the Travel is the movement of people or objects (such as airplanes, boats, trains and other conveyances) between relatively distant geographical locations. The term ""travel"" originates from the Old French word travail. Travel writing is a genre that has, as its focus, accounts of real or imaginary places. The genre encompasses a number of styles that may range from the documentary to the evocative, from literary to journalistic, and from the humorous to the serious. Travel writing is often associated with tourism, and includes works of an ephemeral nature such as guide books and reviews, with the intent being to educate the reader about the destination, provide helpful advice for those visiting the destination, and inspire readers to travel to the destination. Travel writing has also been produced by other types of travelers, such as military officers, missionaries, explorers, scientists, pilgrims, and migrants....more"
369,Travelogue,"A travelogue is a written record of a journey. Travelogues have a long history, from Pausanias' account of 2nd-century Greece, to Marco Polo's travels in 13th-century Asia, to the 19th-century ramblings of Mark Twain, through to modern travel literature.A travelogue is a written record of a journey. Travelogues have a long history, from Pausanias' account of 2nd-century Greece, to Marco Polo's travels in 13th-century Asia, to the 19th-century ramblings of Mark Twain, through to modern travel literature....more"
370,True Crime,"True crime is a non-fiction literary genre in which the author examines an actual crime and details the actions of real people. The crimes most commonly include murder, but true crime works have also touched on other legal cases. Still others revisit historic crimes (or alleged crimes) and propose solutions, such as books examining political assassinations, well-known unsolved murders, or the deaths of celebrities."
371,Tv,NULL
372,Unfinished,"Unfinished worksWorks that are being not being read right now but will be finished.For ""Started reading, but did not finish reading."" see Did Not Finish.Unfinished worksWorks that are being not being read right now but will be finished.For ""Started reading, but did not finish reading."" see Did Not Finish....more"
373,Urban,NULL
374,Urban Design,"Urban design is an approach to the design of buildings and the spaces between them that focuses on specific design processes and outcomes. In addition to designing and shaping the physical features of towns, cities, and regional spaces, urban design considers 'bigger picture' issues of economic, social and environmental value and social design. The scope of a project can range from a local street or public space to an entire city and surrounding areas. Urban designers connect the fields of architecture, landscape architecture and urban planning to better organize physical space and community eUrban design is an approach to the design of buildings and the spaces between them that focuses on specific design processes and outcomes. In addition to designing and shaping the physical features of towns, cities, and regional spaces, urban design considers 'bigger picture' issues of economic, social and environmental value and social design. The scope of a project can range from a local street or public space to an entire city and surrounding areas. Urban designers connect the fields of architecture, landscape architecture and urban planning to better organize physical space and community environments....more"
375,Urban Fantasy,"Urban fantasy is a subgenre of fantasy in which the narrative uses supernatural elements in a 19th-century to 21st-century (or equivalent) urban society. It usually takes place in the present day (or the equivalent of the ""present day"").Works of urban fantasy may be set in an approximation of our world in which fantastic exists secretly or in a world (such as an alternative history) in which it occurs openly, or some combination of the above. Elements such as magic, paranormal beings, other worlds and so on, may exist here. Common themes include coexistence or conflict between humans and otherUrban fantasy is a subgenre of fantasy in which the narrative uses supernatural elements in a 19th-century to 21st-century (or equivalent) urban society. It usually takes place in the present day (or the equivalent of the ""present day"").Works of urban fantasy may be set in an approximation of our world in which fantastic exists secretly or in a world (such as an alternative history) in which it occurs openly, or some combination of the above. Elements such as magic, paranormal beings, other worlds and so on, may exist here. Common themes include coexistence or conflict between humans and other beings, and the changes such characters and events bring to local life are the mainspring.Many authors, publishers, and readers distinguish them from works of paranormal romance, which use similar characters and settings, but focus on the romantic relationships between characters....more"
376,Urban Planning,"Urban planning, also known as town planning, city planning, regional planning, or rural planning, is a technical and political process that is focused on the development and design of land use and the built environment, including air, water, and the infrastructure passing into and out of urban areas, such as transportation, communications, and distribution networks and their accessibility. Many professional practitioners of urban planning, especially practitioners with the title ""urban planner"" study urban planning education, while some paraprofessional practitioners are educated in urban studUrban planning, also known as town planning, city planning, regional planning, or rural planning, is a technical and political process that is focused on the development and design of land use and the built environment, including air, water, and the infrastructure passing into and out of urban areas, such as transportation, communications, and distribution networks and their accessibility. Many professional practitioners of urban planning, especially practitioners with the title ""urban planner"" study urban planning education, while some paraprofessional practitioners are educated in urban studies; others study and work in urban policy - the aspect of public policy used in the public administration subfield of political science that is most aligned with urban planning. Traditionally, urban planning followed a top-down approach in master planning the physical layout of human settlements. The primary concern was the public welfare, which included considerations of efficiency, sanitation, protection and use of the environment, as well as effects of the master plans on the social and economic activities. Over time, urban planning has adopted a focus on the social and environmental bottom-lines that focus on planning as a tool to improve the health and well-being of people while maintaining sustainability standards. Sustainable development was added as one of the main goals of all planning endeavors in the late 20th century when the detrimental economic and the environmental impacts of the previous models of planning had become apparent. Similarly, in the early 21st century, Jane Jacobs's writings on legal and political perspectives to emphasize the interests of residents, businesses and communities effectively influenced urban planners to take into broader consideration of resident experiences and needs while planning....more"
